paper_id,title,gap_coverage,gap_volume,contrast_coverage,contrast_volume,synthesis_coverage,synthesis_volume,scope_exists,contribution_exists,reference_topic_coverage,citations_per_topic,topic_count
1,Grounding and Validation of Algorithmic Recourse in Real-World Contexts: A Systematized Literature Review,0.07692307692307693,0.07692307692307693,0.19230769230769232,0.23076923076923078,0.4230769230769231,0.6153846153846154,1.0,1.0,0.5769230769230769,2.8076923076923075,26.0
2,A Survey on Deep Learning for Theorem Proving,0.0,0.0,0.30434782608695654,0.43478260869565216,0.08695652173913043,0.08695652173913043,1.0,1.0,0.782608695652174,6.391304347826087,23.0
3,"Systematic Review of Large Language Models: Applications, Limitations, Practical Usages and Future Directions",0.15789473684210525,0.21052631578947367,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.0,0.0,0.6842105263157895,1.368421052631579,19.0
4,Causal Reinforcement Learning: A Survey,0.09803921568627451,0.23529411764705882,0.5294117647058824,1.1764705882352942,0.13725490196078433,0.19607843137254902,1.0,1.0,0.6862745098039216,3.2549019607843137,51.0
5,A Survey on Verifiable Cross-Silo Federated Learning,0.07142857142857142,0.14285714285714285,0.4642857142857143,1.1071428571428572,0.10714285714285714,0.14285714285714285,1.0,1.0,0.6428571428571429,1.8928571428571428,28.0
6,A Survey of Flow Matching in Reinforcement Learning,0.056818181818181816,0.07954545454545454,0.3522727272727273,0.6590909090909091,0.09090909090909091,0.10227272727272728,1.0,1.0,0.5454545454545454,0.8295454545454546,88.0
7,Multimodal Automated Fact-Checking: A Survey,0.10526315789473684,0.10526315789473684,0.47368421052631576,0.6842105263157895,0.0,0.0,1.0,1.0,0.7368421052631579,5.684210526315789,19.0
8,A Systematic Review of NeurIPS Dataset Management Practices,0.058823529411764705,0.11764705882352941,0.4117647058823529,0.6470588235294118,0.17647058823529413,0.23529411764705882,1.0,1.0,0.5882352941176471,1.8823529411764706,17.0
9,Retrieving Multimodal Information for Augmented Generation: A Survey,0.3181818181818182,0.3181818181818182,0.45454545454545453,0.5454545454545454,0.0,0.0,1.0,1.0,0.7727272727272727,4.636363636363637,22.0
10,On AI-centered Retrosynthetic Planning: a Survey,0.23076923076923078,0.5384615384615384,0.6923076923076923,2.076923076923077,0.07692307692307693,0.07692307692307693,1.0,1.0,0.7692307692307693,3.3076923076923075,13.0
11,On permutation-invariant neural networks: A survey,0.1,0.12,0.3,0.38,0.04,0.04,1.0,1.0,0.68,2.18,50.0
12,Deep Multimodal Learning with Missing Modality: A Survey,0.0392156862745098,0.0392156862745098,0.35294117647058826,0.5686274509803921,0.11764705882352941,0.11764705882352941,1.0,1.0,0.6862745098039216,3.156862745098039,51.0
13,A Survey on Transformers in Reinforcement Learning,0.13636363636363635,0.2727272727272727,0.5909090909090909,1.1818181818181819,0.045454545454545456,0.045454545454545456,1.0,1.0,0.6818181818181818,4.136363636363637,22.0
14,Machine Learning for the Multi-Dimensional Bin Packing Problem: Literature Review and Empirical Evaluation,0.045454545454545456,0.045454545454545456,0.5,0.7727272727272727,0.0,0.0,1.0,1.0,0.7272727272727273,3.0454545454545454,22.0
15,Adaptive Physics-informed Neural Networks: A Survey,0.18181818181818182,0.29545454545454547,0.5227272727272727,1.1590909090909092,0.11363636363636363,0.18181818181818182,1.0,1.0,0.5909090909090909,1.0,44.0
16,Survey of Scientific Rigor Studied in Machine Learning,0.0,0.0,0.18518518518518517,0.3333333333333333,0.18518518518518517,0.25925925925925924,1.0,1.0,0.5185185185185185,2.7037037037037037,27.0
17,"Provably Safe Reinforcement Learning: Conceptual Analysis, Survey, and Benchmarking",0.17142857142857143,0.2571428571428571,0.37142857142857144,0.7428571428571429,0.05714285714285714,0.05714285714285714,1.0,1.0,0.6,2.3142857142857145,35.0
18,Explainable Visual Forgery Detection: A Survey,0.21568627450980393,0.23529411764705882,0.3137254901960784,0.5882352941176471,0.13725490196078433,0.17647058823529413,1.0,1.0,0.6274509803921569,2.019607843137255,51.0
19,A Survey of Model Architectures in Information Retrieval,0.13414634146341464,0.1951219512195122,0.43902439024390244,0.7317073170731707,0.06097560975609756,0.06097560975609756,1.0,0.0,0.8292682926829268,3.951219512195122,82.0
20,A Survey on the Abstraction and Reasoning Corpus,0.06976744186046512,0.09302325581395349,0.3488372093023256,0.5116279069767442,0.023255813953488372,0.023255813953488372,1.0,1.0,0.8372093023255814,2.3255813953488373,43.0
21,A Survey on Benchmarks of LLM-based GUI Agents,0.15625,0.25,0.34375,0.4375,0.25,0.28125,1.0,1.0,0.25,1.1875,32.0
22,Large Language Model-Brained GUI Agents: A Survey,0.14285714285714285,0.17532467532467533,0.24675324675324675,0.34415584415584416,0.18181818181818182,0.22727272727272727,1.0,1.0,0.33116883116883117,0.8376623376623377,154.0
23,Augmented Language Models: a Survey,0.06060606060606061,0.06060606060606061,0.5151515151515151,0.9696969696969697,0.12121212121212122,0.18181818181818182,1.0,0.0,0.7878787878787878,3.909090909090909,33.0
