paper_id,title,gap_coverage,gap_volume,contrast_coverage,contrast_volume,synthesis_coverage,synthesis_volume,scope_exists,contribution_exists,reference_topic_coverage,citations_per_topic,topic_count
1,Grounding and Validation of Algorithmic Recourse in Real-World Contexts: A Systematized Literature Review,0.0769230769230769,0.0769230769230769,0.1923076923076923,0.2307692307692307,0.4230769230769231,0.6153846153846154,1.0,1.0,0.5769230769230769,2.8076923076923075,26.0
2,A Survey on Deep Learning for Theorem Proving,0.0,0.0,0.3043478260869565,0.4347826086956521,0.0869565217391304,0.0869565217391304,1.0,1.0,0.782608695652174,6.391304347826087,23.0
3,"Systematic Review of Large Language Models: Applications, Limitations, Practical Usages and Future Directions",0.1578947368421052,0.2105263157894736,0.0526315789473684,0.0526315789473684,0.0526315789473684,0.0526315789473684,0.0,0.0,0.6842105263157895,1.368421052631579,19.0
4,Causal Reinforcement Learning: A Survey,0.0980392156862745,0.2352941176470588,0.5294117647058824,1.1764705882352942,0.1372549019607843,0.196078431372549,1.0,1.0,0.6862745098039216,3.2549019607843137,51.0
5,A Survey on Verifiable Cross-Silo Federated Learning,0.0714285714285714,0.1428571428571428,0.4642857142857143,1.1071428571428572,0.1071428571428571,0.1428571428571428,1.0,1.0,0.6428571428571429,1.8928571428571428,28.0
6,A Survey of Flow Matching in Reinforcement Learning,0.0568181818181818,0.0795454545454545,0.3522727272727273,0.6590909090909091,0.0909090909090909,0.1022727272727272,1.0,1.0,0.5454545454545454,0.8295454545454546,88.0
7,Multimodal Automated Fact-Checking: A Survey,0.1052631578947368,0.1052631578947368,0.4736842105263157,0.6842105263157895,0.0,0.0,1.0,1.0,0.7368421052631579,5.684210526315789,19.0
8,A Systematic Review of NeurIPS Dataset Management Practices,0.0588235294117647,0.1176470588235294,0.4117647058823529,0.6470588235294118,0.1764705882352941,0.2352941176470588,1.0,1.0,0.5882352941176471,1.8823529411764703,17.0
9,Retrieving Multimodal Information for Augmented Generation: A Survey,0.3181818181818182,0.3181818181818182,0.4545454545454545,0.5454545454545454,0.0,0.0,1.0,1.0,0.7727272727272727,4.636363636363637,22.0
10,On AI-centered Retrosynthetic Planning: a Survey,0.2307692307692307,0.5384615384615384,0.6923076923076923,2.076923076923077,0.0769230769230769,0.0769230769230769,1.0,1.0,0.7692307692307693,3.3076923076923075,13.0
11,On permutation-invariant neural networks: A survey,0.1,0.12,0.3,0.38,0.04,0.04,1.0,1.0,0.68,2.18,50.0
12,Deep Multimodal Learning with Missing Modality: A Survey,0.0392156862745098,0.0392156862745098,0.3529411764705882,0.5686274509803921,0.1176470588235294,0.1176470588235294,1.0,1.0,0.6862745098039216,3.156862745098039,51.0
13,A Survey on Transformers in Reinforcement Learning,0.1363636363636363,0.2727272727272727,0.5909090909090909,1.181818181818182,0.0454545454545454,0.0454545454545454,1.0,1.0,0.6818181818181818,4.136363636363637,22.0
14,Machine Learning for the Multi-Dimensional Bin Packing Problem: Literature Review and Empirical Evaluation,0.0454545454545454,0.0454545454545454,0.5,0.7727272727272727,0.0,0.0,1.0,1.0,0.7272727272727273,3.0454545454545454,22.0
15,Adaptive Physics-informed Neural Networks: A Survey,0.1818181818181818,0.2954545454545454,0.5227272727272727,1.1590909090909092,0.1136363636363636,0.1818181818181818,1.0,1.0,0.5909090909090909,1.0,44.0
16,Survey of Scientific Rigor Studied in Machine Learning,0.0,0.0,0.1851851851851851,0.3333333333333333,0.1851851851851851,0.2592592592592592,1.0,1.0,0.5185185185185185,2.703703703703704,27.0
17,"Provably Safe Reinforcement Learning: Conceptual Analysis, Survey, and Benchmarking",0.1714285714285714,0.2571428571428571,0.3714285714285714,0.7428571428571429,0.0571428571428571,0.0571428571428571,1.0,1.0,0.6,2.3142857142857145,35.0
18,Explainable Visual Forgery Detection: A Survey,0.2156862745098039,0.2352941176470588,0.3137254901960784,0.5882352941176471,0.1372549019607843,0.1764705882352941,1.0,1.0,0.6274509803921569,2.019607843137255,51.0
19,A Survey of Model Architectures in Information Retrieval,0.1341463414634146,0.1951219512195122,0.4390243902439024,0.7317073170731707,0.0609756097560975,0.0609756097560975,1.0,0.0,0.8292682926829268,3.951219512195122,82.0
20,A Survey on the Abstraction and Reasoning Corpus,0.0697674418604651,0.0930232558139534,0.3488372093023256,0.5116279069767442,0.0232558139534883,0.0232558139534883,1.0,1.0,0.8372093023255814,2.3255813953488373,43.0
21,A Survey on Benchmarks of LLM-based GUI Agents,0.15625,0.25,0.34375,0.4375,0.25,0.28125,1.0,1.0,0.25,1.1875,32.0
22,Large Language Model-Brained GUI Agents: A Survey,0.1428571428571428,0.1753246753246753,0.2467532467532467,0.3441558441558441,0.1818181818181818,0.2272727272727272,1.0,1.0,0.3311688311688311,0.8376623376623377,154.0
23,Augmented Language Models: a Survey,0.0606060606060606,0.0606060606060606,0.5151515151515151,0.9696969696969696,0.1212121212121212,0.1818181818181818,1.0,0.0,0.7878787878787878,3.909090909090909,33.0
24,Unifying VXAI: A Systematic Review and Framework for the Evaluation of Explainable AI,0.0862068965517241,0.0862068965517241,0.5344827586206896,1.1896551724137931,0.1551724137931034,0.2068965517241379,1.0,1.0,0.6206896551724138,4.0344827586206895,58.0
25,Discrete Audio Tokens: More Than a Survey!,0.0845070422535211,0.1126760563380281,0.3661971830985915,0.5915492957746479,0.1549295774647887,0.1830985915492957,1.0,1.0,0.6056338028169014,1.732394366197183,71.0
26,A Comprehensive Survey on Knowledge Distillation,0.0769230769230769,0.0879120879120879,0.3406593406593406,0.4945054945054945,0.1318681318681318,0.1318681318681318,1.0,0.0,0.7032967032967034,3.725274725274725,91.0
27,Augmented Vision-Language Models: A Systematic Review,0.1785714285714285,0.2142857142857142,0.125,0.1607142857142857,0.0,0.0,1.0,0.0,0.5,2.0535714285714284,56.0
28,A Survey of Reinforcement Learning from Human Feedback,0.0760869565217391,0.1521739130434782,0.5217391304347826,1.2391304347826086,0.0652173913043478,0.0760869565217391,1.0,1.0,0.7391304347826086,3.1847826086956523,92.0
29,Hardware Acceleration for Neural Networks: A Comprehensive Survey,0.02803738317757,0.0373831775700934,0.4859813084112149,0.6542056074766355,0.0747663551401869,0.0747663551401869,1.0,0.0,0.897196261682243,0.5794392523364486,107.0
30,Personalization of Large Language Models: A Survey,0.1011235955056179,0.2022471910112359,0.3370786516853932,0.6404494382022472,0.1235955056179775,0.1573033707865168,1.0,1.0,0.449438202247191,2.438202247191011,89.0
